,name,price,color,feature_dict,link
10,"
FLOORBEE Albatross 36 Yellow","
19.56 €","
yellow / white","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Protector', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'JET', 'Indicates the hardness of the blade', 'yes', '183g', 'straight']}",https://www.efloorball.net/p/35669/floorbee-albatross-36-yellow-floorball-stick?ts=p_1_3_11
11,"
FLOORBEE Falcon 26 Carbon Composite Black/White","
39.86 €","
Black / White","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Tyre sticky', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'JET', 'Indicates the hardness of the blade', 'yes', '229g', 'straight', '40 % carbon / 60 % glass fiber']}",https://www.efloorball.net/p/34620/floorbee-falcon-26-floorball-stick?ts=p_1_3_12
12,"
OxDog FUSION LIGHT 32 UV ROUND NB","
29.93 € 


Recommended retail price:  33.92 €


","
black / purple","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:'], 'Key': ['2021/2022', 'The lower number, the harder shaft', 'Touch', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Avox', 'Indicates the hardness of the blade', 'yes', 'straight']}",https://www.efloorball.net/p/37542/oxdog-fusion-light-32-uv-round-nb-floorball-stick?ts=p_1_3_13
13,"
FLOORBEE Douglas 32 Composite Red/White","
23.90 €","
red / white","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Protector', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'JET', 'Indicates the hardness of the blade', 'yes', '217g', 'straight']}",https://www.efloorball.net/p/40266/floorbee-douglas-32-compostie-red-white-floorball-stick?ts=p_1_3_14
14,"
Salming Q1 Tourlite SR Carbon","
59.45 € 


Recommended retail price:  91.74 €


","
White / Grey","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'X3M', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Quest1', 'Indicates the hardness of the blade', 'yes', '239g', 'straight', '60 % carbon / 40 % glass fiber']}",https://www.efloorball.net/p/35107/salming-q1-tourlite-sr-floorball-stick?ts=p_1_3_15
15,"
Salming Raven XtremeLite","
115.32 € 


Recommended retail price:  175.53 €


","
Black","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'WetTac', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Raven', 'Indicates the hardness of the blade', 'yes', '192g', 'straight', '100 % carbon']}",https://www.efloorball.net/p/35079/salming-raven-xtremelite-floorball-stick?ts=p_1_3_16
16,"
FLOORBEE Albatross 36 White/Green","
19.56 €","
black / green","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Protector', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'JET', 'Indicates the hardness of the blade', 'yes', '183g', 'straight']}",https://www.efloorball.net/p/40267/floorbee-albatross-36-composite-white-green-floorball-stick?ts=p_1_3_17
17,"
Zone floorball ZUPER Composite Light 29 white/turquoise","
47.49 € 


Recommended retail price:  67.79 €


","
white / turquoise","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Original grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Zuper', 'Indicates the hardness of the blade', 'yes', '225g', 'straight']}",https://www.efloorball.net/p/35218/zone-floorball-zuper-composite-light-29-white-turquoise-floorball-stick?ts=p_1_3_18
18,"
OxDog ULTRALIGHT HES 29 WT ROUND MBC2","
147.20 € 


Recommended retail price:  148.63 €


","
white / apricot","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Ultralight', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'FSL (FASTSHOOTLIGHT) CARBON 2', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/38632/oxdog-ultralight-hes-29-wt-round-mbc2-floorball-stick?ts=p_1_3_19
19,"
OxDog HYPERLIGHT HES 27 BK ROUND MBC","
167.14 € 


Recommended retail price:  168.58 €


","
Black","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Ultralight', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Optilight Carbon', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/38621/oxdog-hyperlight-hes-27-bk-round-mbc-floorball-stick?ts=p_1_3_20
