,name,price,color,feature_dict,link
122,"
Zone floorball HARDER AIR Light 31 white/icegreen","
87.74 €","
white / green","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Air grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'HARDER', 'Indicates the hardness of the blade', 'yes', '242g', 'straight']}",https://www.efloorball.net/p/39307/zone-floorball-harder-air-light-31-white-icegreen-floorball-stick?ts=p_1_3_123
123,"
Salming Quest1 XtremeLite 27","
159.57 €","
Black","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'WetTac', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Quest1', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/39360/salming-quest1-xtremelite-27-floorball-stick?ts=p_1_3_124
124,"
Zone floorball MAKER AIRLIGHT 26 triple grey","
122.86 € 


Recommended retail price:  175.53 €


","
gray","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2021/2022', 'The lower number, the harder shaft', 'Airlight grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Maker', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/37271/zone-floorball-maker-airlight-26-triple-grey-floorball-stick?ts=p_1_3_125
125,"
Exel E-LITE BLACK 2.9 OVAL MB","
111.32 € 


Recommended retail price:  118.71 €


","
Black","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'E-Lite', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'E-Fect', 'Indicates the hardness of the blade', 'yes', '185g', 'straight', '100 % carbon']}",https://www.efloorball.net/p/39415/exel-e-lite-black-2-9-oval-mb-floorball-stick?ts=p_1_3_126
126,"
Unihoc EPIC TITAN SUPERSKIN REGULAR 26 black/graphite","
79.77 € 


Recommended retail price:  119.66 €


","
black / graphite","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Top Grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Epic', 'Indicates the hardness of the blade', 'yes', '217g', 'straight', '80 % carbon / 20 % glass fibre']}",https://www.efloorball.net/p/35204/unihoc-epic-titan-superskin-regular-26-black-graphite-floorball-stick?ts=p_1_3_127
127,"
Exel SHOCK ABSORBER BLACK 2.6 OVAL MB","
143.24 € 


Recommended retail price:  158.61 €


","
Black","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Rival Grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Air', 'Indicates the hardness of the blade', 'yes', '200g', 'straight', '100 % carbon']}",https://www.efloorball.net/p/39397/exel-shock-absorber-black-2-6-oval-mb-floorball-stick?ts=p_1_3_128
128,"
Fat Pipe RAW CONCEPT 29 JAB FH2","
167.54 €","
black / pink","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Raw Concept grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Jab FH2', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/39822/fat-pipe-raw-concept-29-jab-fh2-floorball-stick?ts=p_1_3_129
129,"
Zone floorball DREAM AL 26 PRO WHITE/RAINBOW","
161.56 € 


Recommended retail price:  199.46 €


","
white","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Airlight grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'DREAM', 'Indicates the hardness of the blade', 'yes', '199g', 'straight', '100 % carbon']}",https://www.efloorball.net/p/40485/zone-floorball-dream-al-26-pro-white-rainbow-floorball-stick?ts=p_1_3_130
130,"
Exel E-FECT BLACK 2.6 OVAL MB","
151.23 € 


Recommended retail price:  168.58 €


","
Black","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Elite', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'E-Fect', 'Indicates the hardness of the blade', 'yes', '200g', 'straight', '100 % carbon']}",https://www.efloorball.net/p/39390/exel-e-fect-black-2-6-oval-mb-floorball-stick?ts=p_1_3_131
131,"
Zone floorball HYPER AL 27 PRO BLACK/RAINBOW OVAL","
152.50 € 


Recommended retail price:  179.52 €


","
Black","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Airlight grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Hyper', 'Indicates the hardness of the blade', 'yes', '199g', 'straight', '100 % carbon']}",https://www.efloorball.net/p/40487/zone-floorball-hyper-al-27-pro-black-rainbow-oval-floorball-stick?ts=p_1_3_132
132,"
Eurostick Doodle","
6.39 €","
Reversible","{'Name': ['Season:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2022/2023', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'PEHD', 'Indicates the hardness of the blade', 'No', '239g', 'straight']}",https://www.efloorball.net/p/39934/eurostick-doodle-floorball-stick?ts=p_1_3_133
133,"
Exel X-PLAY WHITE 2.9 ROUND SB","
64.76 €","
white / orange","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'T-3', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'X-BLADE', 'Indicates the hardness of the blade', 'yes', '230g', 'straight', '25 % carbon / 75 % glass fiber']}",https://www.efloorball.net/p/39430/exel-x-play-white-2-9-round-sb-floorball-stick?ts=p_1_3_134
134,"
Unihoc UNILITE CARBSKIN TITAN 29 WHITE EDT","
199.46 €","
white","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Carbskin', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'UNILITE', 'Indicates the hardness of the blade', 'yes', '188g', 'straight', '100 % carbon']}",https://www.efloorball.net/p/40501/unihoc-unilite-carbskin-titan-29-white-edt-floorball-stick?ts=p_1_3_135
135,"
OxDog ULTRALIGHT HES 31 WT ROUND MB","
99.32 € 


Recommended retail price:  99.64 €


","
white / apricot","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Ultralight', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'FSL (FASTSHOOTLIGHT)', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/38634/oxdog-ultralight-hes-31-wt-round-mb-floorball-stick?ts=p_1_3_136
136,"
Fat Pipe RC 27 INDEPENDENT FACTORY JAB FH2","
99.71 € 


Recommended retail price:  159.57 €


","
black / gold","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Raw Concept grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Jab FH2', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/35160/fat-pipe-rc-27-independent-floorball-stick?ts=p_1_3_137
137,"
Exel S1 BLACK 2.6 SQUARE MB","
108.74 €","
Black / Orange","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'T-3', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'ICE', 'Indicates the hardness of the blade', 'yes', 'straight', '75 % carbon / 25 % glass fiber']}",https://www.efloorball.net/p/39423/exel-s1-black-2-6-square-mb-floorball-stick?ts=p_1_3_138
138,"
Fat Pipe VENOM 27 Black JAB","
59.82 € 


Recommended retail price:  79.77 €


","
black / gold","{'Name': ['Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['The lower number, the harder shaft', 'Sticky', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Jab', 'Indicates the hardness of the blade', 'yes', 'straight', '23 % carbon / 77 % glass fibre']}",https://www.efloorball.net/p/40415/fat-pipe-venom-27-black-jab-floorball-stick?ts=p_1_3_139
139,"
Zone floorball HYPER Composite Light 28 white/black","
87.74 €","
white / black","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Original grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Hyper', 'Indicates the hardness of the blade', 'yes', '235g', 'straight']}",https://www.efloorball.net/p/39303/zone-floorball-hyper-composite-light-28-white-black-floorball-stick?ts=p_1_3_140
140,"
LEXX Swiss A2 2,9 oval NoVibrations SMU","
39.86 € 


Recommended retail price:  159.20 €


","
black / silver / red","{'Name': ['Season:', 'Flex: ', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Carbon content:'], 'Key': ['2015', 'The lower number, the harder shaft', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'A2', 'Indicates the hardness of the blade', 'yes', '100 % carbon']}",https://www.efloorball.net/p/17206/floorball-stick-lexx-swiss-c4-2-9-oval-novibrations-15?ts=p_1_3_141
141,"
OxDog ULTRALIGHT HES 25 WT OVAL MBC2","
147.20 € 


Recommended retail price:  148.63 €


","
white / apricot","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Ultralight', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'FSL (FASTSHOOTLIGHT) CARBON 2', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/38628/oxdog-ultralight-hes-25-wt-oval-mbc2-floorball-stick?ts=p_1_3_142
142,"
Floorball stick Unihoc PLAYER  Curve 1.5º STL 29 cerise/white `15","
87.39 € 


Recommended retail price:  143.24 €


","
white / black / pink","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:'], 'Key': ['2015', 'The lower number, the harder shaft', 'Feather Light', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Player+', 'Indicates the hardness of the blade', 'yes', '208g']}",https://www.efloorball.net/p/15963/floorball-stick-unihoc-player-curve-1-5-stl-29-cerise-white-15?ts=p_1_3_143
143,"
Salming Quest1 Powerlite Aero 27 Neon Green","
159.57 €","
neon green","{'Name': ['Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['The lower number, the harder shaft', 'X3M Grip PRO', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Quest1', 'Indicates the hardness of the blade', 'yes', 'straight', '95 % carbon / 5 % Vectran']}",https://www.efloorball.net/p/40469/salming-quest1-powerlite-aero-27-neon-green-floorball-stick?ts=p_1_3_144
144,"
Eurostick Mini","
4.47 € 


Recommended retail price:  4.80 €


","
Reversible","{'Name': ['Sticks material: ', 'Handling shape: ', 'Blade name:', 'IFF Certification:', 'shaft type:'], 'Key': ['Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'PEHD', 'No', 'straight']}",https://www.efloorball.net/p/17120/floorball-stick-kid2-15?ts=p_1_3_145
145,"
OxDog VX HES 27 MM ROUND MBC","
128.68 €","
white / turquoise","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Touch', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Avox Carbon', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/38636/oxdog-vx-hes-27-mm-round-mbc-floorball-stick?ts=p_1_3_146
146,"
LEXX Swiss A2 2.3 NoVibrations SMU","
39.51 € 


Recommended retail price:  159.57 €


","
black / silver / red","{'Name': ['Season:', 'Flex: ', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Carbon content:'], 'Key': ['2015', 'The lower number, the harder shaft', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'A2', 'Indicates the hardness of the blade', 'yes', '100 % carbon']}",https://www.efloorball.net/p/17208/floorball-stick-lexx-swiss-novibrations-c4-2-3-15?ts=p_1_3_147
147,"
Fat Pipe FP CONCEPT 27 WE JAB","
91.74 €","
white","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'WTB', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Jab', 'yes', 'straight', '23 % carbon / 77 % glass fibre']}",https://www.efloorball.net/p/40440/fat-pipe-fp-concept-27-we-jab-floorball-stick?ts=p_1_3_148
148,"
Zone floorball HARDER AIR UL 28 white/ice coral","
135.62 €","
white / coral","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Air grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'HARDER', 'Indicates the hardness of the blade', 'yes', 'straight', '40 % carbon / 60 % glass fiber']}",https://www.efloorball.net/p/39314/zone-floorball-harder-air-ul-28-white-ice-coral-floorball-stick?ts=p_1_3_149
149,"
Salming Quest1 Powerlite Aero 29 Neon Pink","
119.66 €","
neon pink","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'X3M Grip PRO', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Quest1', 'yes', 'straight', '95 % carbon / 5 % Vectran']}",https://www.efloorball.net/p/40466/salming-quest1-powerlite-aero-29-neon-pink-floorball-stick?ts=p_1_3_150
150,"
Fat Pipe COMET 33 RAW","
25.90 €","
black / grey","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Grip pro', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Raw', 'Indicates the hardness of the blade', 'yes', 'straight', '0%']}",https://www.efloorball.net/p/39808/fat-pipe-comet-33-raw-floorball-stick?ts=p_1_3_151
151,"
Eurostick Tribal Junior","
8.18 €","
70cm (=80cm)","{'Name': ['Sticks material: ', 'Handling shape: ', 'Blade name:', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'PEHD', 'No', '205g', 'straight']}",https://www.efloorball.net/p/28924/necy-tribal-junior-floorbal-stick?ts=p_1_3_152
152,"
Unihoc EPIC SUPERSKIN PRO 26 white","
175.53 €","
white","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Superskin', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Epic', 'Indicates the hardness of the blade', 'yes', '218g', 'straight', '95 % carbon / 5 % glass fibre']}",https://www.efloorball.net/p/39331/unihoc-epic-superskin-pro-26-white-floorball-stick?ts=p_1_3_153
153,"
Zone floorball DREAM AIRLIGHT 26 PRO WHITE/BLUE","
161.56 € 


Recommended retail price:  199.46 €


","
white / blue","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Airlight grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'DREAM', 'Indicates the hardness of the blade', 'yes', '199g', 'straight', '100 % carbon']}",https://www.efloorball.net/p/40484/zone-floorball-dream-airlight-26-pro-white-blue-floorball-stick?ts=p_1_3_154
154,"
OxDog ULTRALIGHT HES 31 WT SWEOVAL MB","
99.32 € 


Recommended retail price:  99.64 €


","
white / apricot","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Ultralight', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'FSL (FASTSHOOTLIGHT)', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/38633/oxdog-ultralight-hes-31-wt-sweoval-mb-floorball-stick?ts=p_1_3_155
155,"
Unihoc Basic WINNER 35 black/green","
20.71 €","
black / green","{'Name': ['Season:', 'Flex: ', 'Sticks material: ', 'Handling shape: ', 'IFF Certification:', 'shaft type:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'yes', 'straight']}",https://www.efloorball.net/p/27280/unihoc-winner-35-black-green-floorbal-stick?ts=p_1_3_156
156,"
Salming Quest1 Powerlite Aero TC 3˚","
139.61 €","
White / Grey","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'X3M Grip PRO', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Quest1', 'Indicates the hardness of the blade', 'yes', 'straight', '95 % carbon / 5 % Vectran']}",https://www.efloorball.net/p/39374/salming-quest1-powerlite-aero-tc-3-floorball-stick?ts=p_1_3_157
157,"
Unihoc ICONIC SUPERSKIN SLIM FL 29","
153.61 €","
graphite / orange","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Superskin', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'ICONIC', 'Indicates the hardness of the blade', 'yes', 'straight', '95 % carbon / 5 % glass fibre']}",https://www.efloorball.net/p/39332/unihoc-iconic-superskin-slim-fl-29-floorball-stick?ts=p_1_3_158
158,"
Unihoc EPIC CARBSKIN FL 26 black/orange","
231.38 €","
black / neon orange","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Carbskin', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Epic', 'Indicates the hardness of the blade', 'yes', '189g', 'straight', '100 % carbon']}",https://www.efloorball.net/p/39335/unihoc-epic-carbskin-fl-26-black-orange-floorball-stick?ts=p_1_3_159
159,"
Salming Campus Aero 32","
31.89 €","
dark blue / blue","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Campus Base', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Aero', 'Indicates the hardness of the blade', 'No', 'straight']}",https://www.efloorball.net/p/32192/salming-campus-aero-32-floorball-stick?ts=p_1_3_160
160,"
LEXX Swiss A2 2.9 NoVibrations SMU","
39.86 € 


Recommended retail price:  159.57 €


","
black / silver / red","{'Name': ['Season:', 'Flex: ', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:'], 'Key': ['2015', 'The lower number, the harder shaft', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'A2', 'Indicates the hardness of the blade', 'yes']}",https://www.efloorball.net/p/17212/floorball-stick-lexx-swiss-novibrations-c4-2-9-15?ts=p_1_3_161
161,"
OxDog FUSION LIGHT 27 WT OVAL MB","
99.64 €","
white / apricot","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Touch', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Avox', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/38648/oxdog-fusion-light-27-wt-oval-mb-floorball-stick?ts=p_1_3_162
162,"
Unihoc PLAYER 29 SMU black/red","
29.89 € 


Recommended retail price:  39.86 €


","
black / red","{'Name': ['Season:', 'Flex: ', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2017/2018', 'The lower number, the harder shaft', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Player', 'Indicates the hardness of the blade', 'yes', '233g', 'straight']}",https://www.efloorball.net/p/30417/unihoc-player-29-smu-black-red-floorbal-stick?ts=p_1_3_163
163,"
Exel UNIVERSITY BLACK uniflex ROUND SB","
32.84 €","
Black","{'Name': ['Season:', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:'], 'Key': ['2022/2023', 'T-3', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Megalomaniac', 'Indicates the hardness of the blade', 'No', 'straight']}",https://www.efloorball.net/p/39448/exel-university-black-uniflex-round-sb-floorball-stick?ts=p_1_3_164
164,"
Zone floorball HARDER AIR SL 26 black/ice coral","
169.57 €","
black / coral","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Air grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'HARDER', 'Indicates the hardness of the blade', 'yes', '206g', 'straight', '95 % carbon / 5 % glass fibre']}",https://www.efloorball.net/p/39318/zone-floorball-harder-air-sl-26-black-ice-coral-floorball-stick?ts=p_1_3_165
165,"
Eurostick Force One | PREMIUM","
10.34 €",,"{'Name': ['Season:', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2022/2023', 'Basic', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'PEHD', 'Indicates the hardness of the blade', 'No', '293g', 'straight']}",https://www.efloorball.net/p/40314/eurostick-force-one-premium-floorball-stick?ts=p_1_3_166
166,"
Salming Aero Z 32","
51.83 €","
blue / orange","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Tritec', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'AeroZ', 'Indicates the hardness of the blade', 'yes', '244g', 'straight']}",https://www.efloorball.net/p/33382/salming-aero-z-32-floorball-stick?ts=p_1_3_167
167,"
OxDog VX HES 27 FP OVAL MBC","
128.68 €","
white / purple","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Touch', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Avox Carbon', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/38635/oxdog-vx-hes-27-fp-oval-mbc-floorball-stick?ts=p_1_3_168
